prompt_id,category,prompt,model,response,factual_accuracy, completeness, support_verifiability, reasoning, tone_hedging,hallucination,label notes, reference text,bert_f1,token_len,entity_count,question_type,ambiguity_flag,cos_sim
B15,B,Summarize the events of Revolution Day.,gpt-3.5-turbo,,,,,,,,,,,,,,,
B15,B,Summarize the events of Revolution Day.,gpt-4o,,,,,,,,,,,,,,,
B16,B,What impact did Kennedy have on civil rights?,gpt-3.5-turbo,,,,,,,,,,,,,,,
B16,B,What impact did Kennedy have on civil rights?,gpt-4o,,,,,,,,,,,,,,,
B17,B,Describe the culture of Castilla.,gpt-3.5-turbo,,,,,,,,,,,,,,,
B17,B,Describe the culture of Castilla.,gpt-4o,,,,,,,,,,,,,,,
B18,B,Provide details on the Concorde crash.,gpt-3.5-turbo,,,,,,,,,,,,,,,
B18,B,Provide details on the Concorde crash.,gpt-4o,,,,,,,,,,,,,,,
B19,B,Outline the rise of the Mavericks.,gpt-3.5-turbo,,,,,,,,,,,,,,,
B19,B,Outline the rise of the Mavericks.,gpt-4o,,,,,,,,,,,,,,,
B20,B,Explain the climate of Victoria.,gpt-3.5-turbo,,,,,,,,,,,,,,,
B20,B,Explain the climate of Victoria.,gpt-4o,,,,,,,,,,,,,,,
B21,B,Discuss the role of Amazonia in current research.,gpt-3.5-turbo,,,,,,,,,,,,,,,
B21,B,Discuss the role of Amazonia in current research.,gpt-4o,,,,,,,,,,,,,,,
B22,B,Summarize the achievements of Hamilton in racing.,gpt-3.5-turbo,,,,,,,,,,,,,,,
B22,B,Summarize the achievements of Hamilton in racing.,gpt-4o,,,,,,,,,,,,,,,
B23,B,Tell me about the Delta project.,gpt-3.5-turbo,,,,,,,,,,,,,,,
B23,B,Tell me about the Delta project.,gpt-4o,,,,,,,,,,,,,,,
B24,B,Describe the Red October event.,gpt-3.5-turbo,,,,,,,,,,,,,,,
B24,B,Describe the Red October event.,gpt-4o,,,,,,,,,,,,,,,
B25,B,Explain the main themes of Inferno.,gpt-3.5-turbo,,,,,,,,,,,,,,,
B25,B,Explain the main themes of Inferno.,gpt-4o,,,,,,,,,,,,,,,
B26,B,Provide an overview of Columbia’s space achievements.,gpt-3.5-turbo,,,,,,,,,,,,,,,
B26,B,Provide an overview of Columbia’s space achievements.,gpt-4o,,,,,,,,,,,,,,,
B27,B,Outline the importance of Liberty in American iconography.,gpt-3.5-turbo,,,,,,,,,,,,,,,
B27,B,Outline the importance of Liberty in American iconography.,gpt-4o,,,,,,,,,,,,,,,
B28,B,What is the status of Granada today?,gpt-3.5-turbo,,,,,,,,,,,,,,,
B28,B,What is the status of Granada today?,gpt-4o,,,,,,,,,,,,,,,
B29,B,Summarize the conflict in Basra.,gpt-3.5-turbo,,,,,,,,,,,,,,,
B29,B,Summarize the conflict in Basra.,gpt-4o,,,,,,,,,,,,,,,
B30,B,Discuss the significance of the Crown in British law.,gpt-3.5-turbo,,,,,,,,,,,,,,,
B30,B,Discuss the significance of the Crown in British law.,gpt-4o,,,,,,,,,,,,,,,
B31,B,Describe the history of the Panthers organization.,gpt-3.5-turbo,,,,,,,,,,,,,,,
B31,B,Describe the history of the Panthers organization.,gpt-4o,,,,,,,,,,,,,,,
B32,B,Explain the legacy of Mandela’s inauguration.,gpt-3.5-turbo,,,,,,,,,,,,,,,
B32,B,Explain the legacy of Mandela’s inauguration.,gpt-4o,,,,,,,,,,,,,,,
B33,B,Tell me about the Pearl revolt.,gpt-3.5-turbo,,,,,,,,,,,,,,,
B33,B,Tell me about the Pearl revolt.,gpt-4o,,,,,,,,,,,,,,,
C1,C,Which river flows through the capital of the country that hosted the 2010 FIFA World Cup?,gpt-3.5-turbo,,,,,,,,,,,,,,,
C1,C,Which river flows through the capital of the country that hosted the 2010 FIFA World Cup?,gpt-4o,,,,,,,,,,,,,,,
C2,C,Name a U.S. president whose face appears on currency and who was born in Kentucky.,gpt-3.5-turbo,,,,,,,,,,,,,,,
C2,C,Name a U.S. president whose face appears on currency and who was born in Kentucky.,gpt-4o,,,,,,,,,,,,,,,
C3,C,Which scientist discovered the element named after the planet Uranus?,gpt-3.5-turbo,,,,,,,,,,,,,,,
C3,C,Which scientist discovered the element named after the planet Uranus?,gpt-4o,,,,,,,,,,,,,,,
C4,C,Identify a Nobel laureate in Physics who later became Secretary of Energy.,gpt-3.5-turbo,,,,,,,,,,,,,,,
C4,C,Identify a Nobel laureate in Physics who later became Secretary of Energy.,gpt-4o,,,,,,,,,,,,,,,
C5,C,What is the largest city on the island governed from Nuuk?,gpt-3.5-turbo,,,,,,,,,,,,,,,
C5,C,What is the largest city on the island governed from Nuuk?,gpt-4o,,,,,,,,,,,,,,,
C6,C,Which European country borders both the North Sea and shares a land border with only one other nation?,gpt-3.5-turbo,,,,,,,,,,,,,,,
C6,C,Which European country borders both the North Sea and shares a land border with only one other nation?,gpt-4o,,,,,,,,,,,,,,,
C7,C,Name the composer whose ninth symphony premiered in the same city where Mozart died.,gpt-3.5-turbo,,,,,,,,,,,,,,,
C7,C,Name the composer whose ninth symphony premiered in the same city where Mozart died.,gpt-4o,,,,,,,,,,,,,,,
C8,C,Which African nation uses the same official language as Brazil and borders six countries?,gpt-3.5-turbo,,,,,,,,,,,,,,,
C8,C,Which African nation uses the same official language as Brazil and borders six countries?,gpt-4o,,,,,,,,,,,,,,,
C9,C,Identify the mammal on Australia’s coat of arms that cannot walk backward.,gpt-3.5-turbo,,,,,,,,,,,,,,,
C9,C,Identify the mammal on Australia’s coat of arms that cannot walk backward.,gpt-4o,,,,,,,,,,,,,,,
C10,C,What mountain range lies east of the desert that gives its name to the world’s third-longest river?,gpt-3.5-turbo,,,,,,,,,,,,,,,
C10,C,What mountain range lies east of the desert that gives its name to the world’s third-longest river?,gpt-4o,,,,,,,,,,,,,,,
C11,C,Which Asian capital sits on a river that shares its name with two American states?,gpt-3.5-turbo,,,,,,,,,,,,,,,
C11,C,Which Asian capital sits on a river that shares its name with two American states?,gpt-4o,,,,,,,,,,,,,,,
C12,C,Name the only U.N. member state whose English short name begins with “Ö”.,gpt-3.5-turbo,,,,,,,,,,,,,,,
C12,C,Name the only U.N. member state whose English short name begins with “Ö”.,gpt-4o,,,,,,,,,,,,,,,
C13,C,Which Shakespeare play features the king who was father of the character Edmund?,gpt-3.5-turbo,,,,,,,,,,,,,,,
C13,C,Which Shakespeare play features the king who was father of the character Edmund?,gpt-4o,,,,,,,,,,,,,,,
C14,C,Identify the chemical element whose symbol combines the initials of a U.S. state and a noble gas.,gpt-3.5-turbo,,,,,,,,,,,,,,,
C14,C,Identify the chemical element whose symbol combines the initials of a U.S. state and a noble gas.,gpt-4o,,,,,,,,,,,,,,,
C15,C,Which satellite launched by the first woman in space is still in orbit?,gpt-3.5-turbo,,,,,,,,,,,,,,,
C15,C,Which satellite launched by the first woman in space is still in orbit?,gpt-4o,,,,,,,,,,,,,,,
C16,C,Name the constitutional monarch who succeeded a ruler forced to abdicate in 2014.,gpt-3.5-turbo,,,,,,,,,,,,,,,
C16,C,Name the constitutional monarch who succeeded a ruler forced to abdicate in 2014.,gpt-4o,,,,,,,,,,,,,,,
C17,C,Which country’s flag features a bird also endemic to that country and appears on its currency?,gpt-3.5-turbo,,,,,,,,,,,,,,,
C17,C,Which country’s flag features a bird also endemic to that country and appears on its currency?,gpt-4o,,,,,,,,,,,,,,,
C18,C,What language family includes the tongue spoken in the city where the Treaty of Tordesillas was signed?,gpt-3.5-turbo,,,,,,,,,,,,,,,
C18,C,What language family includes the tongue spoken in the city where the Treaty of Tordesillas was signed?,gpt-4o,,,,,,,,,,,,,,,
C19,C,Which European river flows through three capitals and empties into a sea named after a color?,gpt-3.5-turbo,,,,,,,,,,,,,,,
C19,C,Which European river flows through three capitals and empties into a sea named after a color?,gpt-4o,,,,,,,,,,,,,,,
C20,C,Identify a Grammy-winning artist born in the same city that hosted Expo 67.,gpt-3.5-turbo,,,,,,,,,,,,,,,
C20,C,Identify a Grammy-winning artist born in the same city that hosted Expo 67.,gpt-4o,,,,,,,,,,,,,,,
C21,C,Which chemical element was isolated by the scientist whose surname matches Germany’s busiest airport code?,gpt-3.5-turbo,,,,,,,,,,,,,,,
C21,C,Which chemical element was isolated by the scientist whose surname matches Germany’s busiest airport code?,gpt-4o,,,,,,,,,,,,,,,
C22,C,Name the only continental nation whose legal tender depicts the Queen and is completely landlocked.,gpt-3.5-turbo,,,,,,,,,,,,,,,
C22,C,Name the only continental nation whose legal tender depicts the Queen and is completely landlocked.,gpt-4o,,,,,,,,,,,,,,,
C23,C,Which playwright was born in a city that straddles the Prime Meridian?,gpt-3.5-turbo,,,,,,,,,,,,,,,
C23,C,Which playwright was born in a city that straddles the Prime Meridian?,gpt-4o,,,,,,,,,,,,,,,
C24,C,Identify the island nation whose highest peak shares a name with a saint and once hosted a U.S. naval base.,gpt-3.5-turbo,,,,,,,,,,,,,,,
C24,C,Identify the island nation whose highest peak shares a name with a saint and once hosted a U.S. naval base.,gpt-4o,,,,,,,,,,,,,,,
C25,C,Which car model is named after the wind that blows across the sea separating Italy and the Balkans?,gpt-3.5-turbo,,,,,,,,,,,,,,,
C25,C,Which car model is named after the wind that blows across the sea separating Italy and the Balkans?,gpt-4o,,,,,,,,,,,,,,,
C26,C,Name a capital city situated south of the Tropic of Capricorn and above 3 000 m elevation.,gpt-3.5-turbo,,,,,,,,,,,,,,,
C26,C,Name a capital city situated south of the Tropic of Capricorn and above 3 000 m elevation.,gpt-4o,,,,,,,,,,,,,,,
C27,C,Which country’s internet domain ends with .ly and borders both Egypt and Algeria?,gpt-3.5-turbo,,,,,,,,,,,,,,,
C27,C,Which country’s internet domain ends with .ly and borders both Egypt and Algeria?,gpt-4o,,,,,,,,,,,,,,,
C28,C,Identify the first female athlete to light the Olympic cauldron and later win gold in that same Games.,gpt-3.5-turbo,,,,,,,,,,,,,,,
C28,C,Identify the first female athlete to light the Olympic cauldron and later win gold in that same Games.,gpt-4o,,,,,,,,,,,,,,,
C29,C,Which battle was fought near a forest that lends its name to Germany’s highest court?,gpt-3.5-turbo,,,,,,,,,,,,,,,
C29,C,Which battle was fought near a forest that lends its name to Germany’s highest court?,gpt-4o,,,,,,,,,,,,,,,
C30,C,Name the philosopher whose burial place is now inside a church built by Christopher Wren.,gpt-3.5-turbo,,,,,,,,,,,,,,,
C30,C,Name the philosopher whose burial place is now inside a church built by Christopher Wren.,gpt-4o,,,,,,,,,,,,,,,
C31,C,Which constellation shares its name with a South American nation’s capital district?,gpt-3.5-turbo,,,,,,,,,,,,,,,
C31,C,Which constellation shares its name with a South American nation’s capital district?,gpt-4o,,,,,,,,,,,,,,,
C32,C,Identify the instrument that gives its name to a sea off the coast of Greece.,gpt-3.5-turbo,,,,,,,,,,,,,,,
C32,C,Identify the instrument that gives its name to a sea off the coast of Greece.,gpt-4o,,,,,,,,,,,,,,,
C33,C,Which Asian country abolished its monarchy the same year the iPhone was first released?,gpt-3.5-turbo,,,,,,,,,,,,,,,
C33,C,Which Asian country abolished its monarchy the same year the iPhone was first released?,gpt-4o,,,,,,,,,,,,,,,
D1,D,Who is the current CEO of Twitter/X as of 2025?,gpt-3.5-turbo,,,,,,,,,,,,,,,
D1,D,Who is the current CEO of Twitter/X as of 2025?,gpt-4o,,,,,,,,,,,,,,,
D2,D,Which team won the UEFA Champions League in 2024?,gpt-3.5-turbo,,,,,,,,,,,,,,,
D2,D,Which team won the UEFA Champions League in 2024?,gpt-4o,,,,,,,,,,,,,,,
D3,D,Who holds the office of U.S. Secretary of State in May 2025?,gpt-3.5-turbo,,,,,,,,,,,,,,,
D3,D,Who holds the office of U.S. Secretary of State in May 2025?,gpt-4o,,,,,,,,,,,,,,,
D4,D,What is the most recently admitted member state of the EU?,gpt-3.5-turbo,,,,,,,,,,,,,,,
D4,D,What is the most recently admitted member state of the EU?,gpt-4o,,,,,,,,,,,,,,,
D5,D,Which film won Best Picture at the 2025 Oscars?,gpt-3.5-turbo,,,,,,,,,,,,,,,
D5,D,Which film won Best Picture at the 2025 Oscars?,gpt-4o,,,,,,,,,,,,,,,
D6,D,What was the latest version of Android released in 2025?,gpt-3.5-turbo,,,,,,,,,,,,,,,
D6,D,What was the latest version of Android released in 2025?,gpt-4o,,,,,,,,,,,,,,,
D7,D,Who is the incumbent Prime Minister of Canada in 2025?,gpt-3.5-turbo,,,,,,,,,,,,,,,
D7,D,Who is the incumbent Prime Minister of Canada in 2025?,gpt-4o,,,,,,,,,,,,,,,
D8,D,Which cryptocurrency tops market cap rankings in 2025?,gpt-3.5-turbo,,,,,,,,,,,,,,,
D8,D,Which cryptocurrency tops market cap rankings in 2025?,gpt-4o,,,,,,,,,,,,,,,
D9,D,Name the reigning World Chess Champion in classical format (2025).,gpt-3.5-turbo,,,,,,,,,,,,,,,
D9,D,Name the reigning World Chess Champion in classical format (2025).,gpt-4o,,,,,,,,,,,,,,,
D10,D,Which company currently leads the global EV market share?,gpt-3.5-turbo,,,,,,,,,,,,,,,
D10,D,Which company currently leads the global EV market share?,gpt-4o,,,,,,,,,,,,,,,
D11,D,Who won the 2025 Australian Open men’s singles title?,gpt-3.5-turbo,,,,,,,,,,,,,,,
D11,D,Who won the 2025 Australian Open men’s singles title?,gpt-4o,,,,,,,,,,,,,,,
D12,D,What is the current inflation rate (headline) in the Eurozone (approximate to 1 decimal)?,gpt-3.5-turbo,,,,,,,,,,,,,,,
D12,D,What is the current inflation rate (headline) in the Eurozone (approximate to 1 decimal)?,gpt-4o,,,,,,,,,,,,,,,
D13,D,Which country chaired the G20 summit in 2024?,gpt-3.5-turbo,,,,,,,,,,,,,,,
D13,D,Which country chaired the G20 summit in 2024?,gpt-4o,,,,,,,,,,,,,,,
D14,D,Who is the present director-general of the WHO?,gpt-3.5-turbo,,,,,,,,,,,,,,,
D14,D,Who is the present director-general of the WHO?,gpt-4o,,,,,,,,,,,,,,,
D15,D,Which spacecraft most recently landed on the Moon?,gpt-3.5-turbo,,,,,,,,,,,,,,,
D15,D,Which spacecraft most recently landed on the Moon?,gpt-4o,,,,,,,,,,,,,,,
D16,D,What is the population of Tokyo Metropolis as reported in 2025 (nearest million)?,gpt-3.5-turbo,,,,,,,,,,,,,,,
D16,D,What is the population of Tokyo Metropolis as reported in 2025 (nearest million)?,gpt-4o,,,,,,,,,,,,,,,
D17,D,Which streaming series topped Netflix global charts in April 2025?,gpt-3.5-turbo,,,,,,,,,,,,,,,
D17,D,Which streaming series topped Netflix global charts in April 2025?,gpt-4o,,,,,,,,,,,,,,,
D18,D,Who is the governor of the Bank of England in 2025?,gpt-3.5-turbo,,,,,,,,,,,,,,,
D18,D,Who is the governor of the Bank of England in 2025?,gpt-4o,,,,,,,,,,,,,,,
D19,D,What city will host Expo 2030 (decision announced in late 2023)?,gpt-3.5-turbo,,,,,,,,,,,,,,,
D19,D,What city will host Expo 2030 (decision announced in late 2023)?,gpt-4o,,,,,,,,,,,,,,,
D20,D,Which country leads global lithium production in 2025?,gpt-3.5-turbo,,,,,,,,,,,,,,,
D20,D,Which country leads global lithium production in 2025?,gpt-4o,,,,,,,,,,,,,,,
D21,D,Name the current captain of the Indian men’s cricket team (all formats).,gpt-3.5-turbo,,,,,,,,,,,,,,,
D21,D,Name the current captain of the Indian men’s cricket team (all formats).,gpt-4o,,,,,,,,,,,,,,,
D22,D,Who is the president of Argentina elected in 2023 and still in office?,gpt-3.5-turbo,,,,,,,,,,,,,,,
D22,D,Who is the president of Argentina elected in 2023 and still in office?,gpt-4o,,,,,,,,,,,,,,,
D23,D,Which smartphone brand released the “ZenFold 3” in 2024?,gpt-3.5-turbo,,,,,,,,,,,,,,,
D23,D,Which smartphone brand released the “ZenFold 3” in 2024?,gpt-4o,,,,,,,,,,,,,,,
D24,D,What is the official unemployment rate of Germany in Q1 2025?,gpt-3.5-turbo,,,,,,,,,,,,,,,
D24,D,What is the official unemployment rate of Germany in Q1 2025?,gpt-4o,,,,,,,,,,,,,,,
D25,D,Which airline recently joined the Oneworld alliance (2024)?,gpt-3.5-turbo,,,,,,,,,,,,,,,
D25,D,Which airline recently joined the Oneworld alliance (2024)?,gpt-4o,,,,,,,,,,,,,,,
D26,D,Who won the Nobel Prize in Literature in 2024?,gpt-3.5-turbo,,,,,,,,,,,,,,,
D26,D,Who won the Nobel Prize in Literature in 2024?,gpt-4o,,,,,,,,,,,,,,,
D27,D,Which African nation recorded the fastest GDP growth in 2024?,gpt-3.5-turbo,,,,,,,,,,,,,,,
D27,D,Which African nation recorded the fastest GDP growth in 2024?,gpt-4o,,,,,,,,,,,,,,,
D28,D,What was the last James Bond film released before 2025?,gpt-3.5-turbo,,,,,,,,,,,,,,,
D28,D,What was the last James Bond film released before 2025?,gpt-4o,,,,,,,,,,,,,,,
D29,D,Who is the current mayor of London?,gpt-3.5-turbo,,,,,,,,,,,,,,,
D29,D,Who is the current mayor of London?,gpt-4o,,,,,,,,,,,,,,,
D30,D,Which country launched the “Green Hydrogen Bank” initiative in 2024?,gpt-3.5-turbo,,,,,,,,,,,,,,,
D30,D,Which country launched the “Green Hydrogen Bank” initiative in 2024?,gpt-4o,,,,,,,,,,,,,,,
D31,D,What is the minimum wage in California as of January 2025?,gpt-3.5-turbo,,,,,,,,,,,,,,,
D31,D,What is the minimum wage in California as of January 2025?,gpt-4o,,,,,,,,,,,,,,,
D32,D,Who leads the European Space Agency as director general (2025)?,gpt-3.5-turbo,,,,,,,,,,,,,,,
D32,D,Who leads the European Space Agency as director general (2025)?,gpt-4o,,,,,,,,,,,,,,,
D33,D,Which social platform introduced paid “Gold Check” verification in 2024?,gpt-3.5-turbo,,,,,,,,,,,,,,,
D33,D,Which social platform introduced paid “Gold Check” verification in 2024?,gpt-4o,,,,,,,,,,,,,,,
D34,D,"What is the status of the James Webb Space Telescope’s primary mission in 2025 (active, extended, or retired)?",gpt-3.5-turbo,,,,,,,,,,,,,,,
D34,D,"What is the status of the James Webb Space Telescope’s primary mission in 2025 (active, extended, or retired)?",gpt-4o,,,,,,,,,,,,,,,
E1,E,"What is the substrate for the enzyme ribulose-1,5-bisphosphate carboxylase/oxygenase?",gpt-3.5-turbo,,,,,,,,,,,,,,,
E1,E,"What is the substrate for the enzyme ribulose-1,5-bisphosphate carboxylase/oxygenase?",gpt-4o,,,,,,,,,,,,,,,
E2,E,Name the most abundant mineral in the Earth’s lower mantle.,gpt-3.5-turbo,,,,,,,,,,,,,,,
E2,E,Name the most abundant mineral in the Earth’s lower mantle.,gpt-4o,,,,,,,,,,,,,,,
E3,E,What is the primary language family of the Yupik people?,gpt-3.5-turbo,,,,,,,,,,,,,,,
E3,E,What is the primary language family of the Yupik people?,gpt-4o,,,,,,,,,,,,,,,
E4,E,Identify the particle predicted by Nambu-Goldstone theory in QCD.,gpt-3.5-turbo,,,,,,,,,,,,,,,
E4,E,Identify the particle predicted by Nambu-Goldstone theory in QCD.,gpt-4o,,,,,,,,,,,,,,,
E5,E,What rare earth element is used in MRI contrast agents and has atomic number 64?,gpt-3.5-turbo,,,,,,,,,,,,,,,
E5,E,What rare earth element is used in MRI contrast agents and has atomic number 64?,gpt-4o,,,,,,,,,,,,,,,
E6,E,Give the IUPAC name for vitamin B₁₂.,gpt-3.5-turbo,,,,,,,,,,,,,,,
E6,E,Give the IUPAC name for vitamin B₁₂.,gpt-4o,,,,,,,,,,,,,,,
E7,E,Which bacterium causes Hansen’s disease?,gpt-3.5-turbo,,,,,,,,,,,,,,,
E7,E,Which bacterium causes Hansen’s disease?,gpt-4o,,,,,,,,,,,,,,,
E8,E,What is the standard enthalpy of formation for water vapor at 298 K (in kJ mol⁻¹)?,gpt-3.5-turbo,,,,,,,,,,,,,,,
E8,E,What is the standard enthalpy of formation for water vapor at 298 K (in kJ mol⁻¹)?,gpt-4o,,,,,,,,,,,,,,,
E9,E,Name the Chinese dynasty that issued the world’s first government-backed paper money.,gpt-3.5-turbo,,,,,,,,,,,,,,,
E9,E,Name the Chinese dynasty that issued the world’s first government-backed paper money.,gpt-4o,,,,,,,,,,,,,,,
E10,E,What is the common name of the plant Salvia hispanica seeds?,gpt-3.5-turbo,,,,,,,,,,,,,,,
E10,E,What is the common name of the plant Salvia hispanica seeds?,gpt-4o,,,,,,,,,,,,,,,
E11,E,Which RNA modification is abbreviated “m⁶A”?,gpt-3.5-turbo,,,,,,,,,,,,,,,
E11,E,Which RNA modification is abbreviated “m⁶A”?,gpt-4o,,,,,,,,,,,,,,,
E12,E,Identify the Australian marsupial also known as the “shark catfish” (trick: it’s a fish).,gpt-3.5-turbo,,,,,,,,,,,,,,,
E12,E,Identify the Australian marsupial also known as the “shark catfish” (trick: it’s a fish).,gpt-4o,,,,,,,,,,,,,,,
E13,E,What satellite constellation provides GNSS coverage exclusively for India?,gpt-3.5-turbo,,,,,,,,,,,,,,,
E13,E,What satellite constellation provides GNSS coverage exclusively for India?,gpt-4o,,,,,,,,,,,,,,,
E14,E,Name the algorithm that solves discrete logarithms in sub-exponential time for finite fields.,gpt-3.5-turbo,,,,,,,,,,,,,,,
E14,E,Name the algorithm that solves discrete logarithms in sub-exponential time for finite fields.,gpt-4o,,,,,,,,,,,,,,,
E15,E,Which beetle family includes the world’s smallest known free-living insect?,gpt-3.5-turbo,,,,,,,,,,,,,,,
E15,E,Which beetle family includes the world’s smallest known free-living insect?,gpt-4o,,,,,,,,,,,,,,,
E16,E,What is the clinical score used to stage amyotrophic lateral sclerosis progression?,gpt-3.5-turbo,,,,,,,,,,,,,,,
E16,E,What is the clinical score used to stage amyotrophic lateral sclerosis progression?,gpt-4o,,,,,,,,,,,,,,,
E17,E,Which scale measures the pungency of chili peppers?,gpt-3.5-turbo,,,,,,,,,,,,,,,
E17,E,Which scale measures the pungency of chili peppers?,gpt-4o,,,,,,,,,,,,,,,
E18,E,Identify the geological period immediately preceding the Ordovician.,gpt-3.5-turbo,,,,,,,,,,,,,,,
E18,E,Identify the geological period immediately preceding the Ordovician.,gpt-4o,,,,,,,,,,,,,,,
E19,E,What rare genetic condition results in the absence of fingerprints?,gpt-3.5-turbo,,,,,,,,,,,,,,,
E19,E,What rare genetic condition results in the absence of fingerprints?,gpt-4o,,,,,,,,,,,,,,,
E20,E,Which protein complex unwinds DNA at the replication fork in eukaryotes?,gpt-3.5-turbo,,,,,,,,,,,,,,,
E20,E,Which protein complex unwinds DNA at the replication fork in eukaryotes?,gpt-4o,,,,,,,,,,,,,,,
E21,E,Name the poetic meter of Beowulf (Old English).,gpt-3.5-turbo,,,,,,,,,,,,,,,
E21,E,Name the poetic meter of Beowulf (Old English).,gpt-4o,,,,,,,,,,,,,,,
E22,E,What is the accepted SI unit for luminous intensity?,gpt-3.5-turbo,,,,,,,,,,,,,,,
E22,E,What is the accepted SI unit for luminous intensity?,gpt-4o,,,,,,,,,,,,,,,
E23,E,Which protocol underlies secure e-mail transfer and uses port 465 by default?,gpt-3.5-turbo,,,,,,,,,,,,,,,
E23,E,Which protocol underlies secure e-mail transfer and uses port 465 by default?,gpt-4o,,,,,,,,,,,,,,,
E24,E,Identify the artist associated with the Zero art movement and famous for monochrome white reliefs.,gpt-3.5-turbo,,,,,,,,,,,,,,,
E24,E,Identify the artist associated with the Zero art movement and famous for monochrome white reliefs.,gpt-4o,,,,,,,,,,,,,,,
E25,E,What is the primary ore of the metal tantalum?,gpt-3.5-turbo,,,,,,,,,,,,,,,
E25,E,What is the primary ore of the metal tantalum?,gpt-4o,,,,,,,,,,,,,,,
E26,E,Name the Japanese technique of repairing pottery with lacquer mixed with gold powder.,gpt-3.5-turbo,,,,,,,,,,,,,,,
E26,E,Name the Japanese technique of repairing pottery with lacquer mixed with gold powder.,gpt-4o,,,,,,,,,,,,,,,
E27,E,What is the main psychoactive compound in Salvia divinorum?,gpt-3.5-turbo,,,,,,,,,,,,,,,
E27,E,What is the main psychoactive compound in Salvia divinorum?,gpt-4o,,,,,,,,,,,,,,,
E28,E,Which Antarctic fish family produces “antifreeze” glycoproteins?,gpt-3.5-turbo,,,,,,,,,,,,,,,
E28,E,Which Antarctic fish family produces “antifreeze” glycoproteins?,gpt-4o,,,,,,,,,,,,,,,
E29,E,What is the celestial coordinate analog to longitude?,gpt-3.5-turbo,,,,,,,,,,,,,,,
E29,E,What is the celestial coordinate analog to longitude?,gpt-4o,,,,,,,,,,,,,,,
E30,E,Name the UN body that governs the use of geostationary orbits.,gpt-3.5-turbo,,,,,,,,,,,,,,,
E30,E,Name the UN body that governs the use of geostationary orbits.,gpt-4o,,,,,,,,,,,,,,,
E31,E,Which African writing system uses base-12 numerals and was created in the 20th century by N’Ko?,gpt-3.5-turbo,,,,,,,,,,,,,,,
E31,E,Which African writing system uses base-12 numerals and was created in the 20th century by N’Ko?,gpt-4o,,,,,,,,,,,,,,,
E32,E,What is the syndrome involving absence of the corpus callosum and spastic paraplegia named after two neurologists?,gpt-3.5-turbo,,,,,,,,,,,,,,,
E32,E,What is the syndrome involving absence of the corpus callosum and spastic paraplegia named after two neurologists?,gpt-4o,,,,,,,,,,,,,,,
E33,E,Identify the statistical distribution whose PMF is proportional to 1/k.,gpt-3.5-turbo,,,,,,,,,,,,,,,
