prompt_id,model,hallucination,bert_f1,cos_sim,nli_contradiction,token_len,char_len,entity_count,pronoun_ratio,imperative_flag,readability_score,punct_density,question_type,ambiguity_flag,completeness
A9,gpt-4o,0,1.0,1.0,0.9935128092765808,7.0,34.0,1.0,0.0,False,45.65,0.0294,which,,1.0
A10,gpt-3.5-turbo,1,0.8397,0.3164,0.0013424112694337964,11.0,51.0,0.0,0.0,False,75.5,0.0196,which,,1.0
A10,gpt-4o,0,0.9801,0.9859,0.9936676621437073,11.0,51.0,0.0,0.0,False,75.5,0.0196,which,,1.0
B1,gpt-3.5-turbo,0,0.8507,0.7503,0.008158696815371513,5.0,22.0,1.0,0.25,True,54.73,0.0455,,1.0,1.0
B1,gpt-4o,0,0.8463,0.7891,0.17693708837032318,5.0,22.0,1.0,0.25,True,54.73,0.0455,,1.0,1.0
B2,gpt-3.5-turbo,0,0.87,0.7831,0.0333375446498394,4.0,20.0,1.0,0.0,True,34.59,0.05,,1.0,1.0
B2,gpt-4o,0,0.8573,0.742,0.41824162006378174,4.0,20.0,1.0,0.0,True,34.59,0.05,,1.0,1.0
B3,gpt-3.5-turbo,0,0.905,0.8283,0.0009304574923589826,7.0,33.0,2.0,0.2,False,87.95,0.0303,what,1.0,1.0
B3,gpt-4o,0,0.8739,0.7817,0.22943681478500366,7.0,33.0,2.0,0.2,False,87.95,0.0303,what,1.0,1.0
B4,gpt-3.5-turbo,0,0.868,0.7217,0.8016811013221741,9.0,53.0,1.0,0.0,True,40.09,0.0189,,1.0,1.0
B4,gpt-4o,0,0.858,0.7624,0.5055994391441345,9.0,53.0,1.0,0.0,True,40.09,0.0189,,1.0,1.0
B5,gpt-3.5-turbo,0,0.8574,0.6846,0.005551548209041357,10.0,44.0,2.0,0.0,True,94.3,0.0227,,1.0,1.0
B5,gpt-4o,0,0.8527,0.7429,0.07532927393913269,10.0,44.0,2.0,0.0,True,94.3,0.0227,,1.0,1.0
B6,gpt-3.5-turbo,0,0.8839,0.8448,0.006256251595914364,8.0,48.0,1.0,0.0,True,42.62,0.0208,,1.0,1.0
B6,gpt-4o,1,0.8494,0.6283,0.020813094452023506,7.0,47.0,1.0,0.0,True,42.62,0.0,,1.0,1.0
B7,gpt-4o,0,0.8808,0.8147,0.0017313992138952017,9.0,39.0,1.0,0.0,True,31.55,0.0256,,1.0,1.0
B8,gpt-3.5-turbo,0,0.8306,0.7193,0.025654973462224007,7.0,34.0,1.0,0.0,True,59.75,0.0294,,1.0,1.0
B8,gpt-4o,0,0.8036,0.6413,0.02443797141313553,7.0,34.0,1.0,0.0,True,59.75,0.0294,,1.0,1.0
B9,gpt-3.5-turbo,0,0.838,0.6123,0.007408369332551956,9.0,45.0,1.0,0.125,False,50.67,0.0222,what,1.0,1.0
B9,gpt-4o,0,0.834,0.633,0.022121144458651543,9.0,45.0,1.0,0.125,False,50.67,0.0222,what,1.0,1.0
B10,gpt-3.5-turbo,0,0.8801,0.8235,0.0025411450769752264,9.0,50.0,1.0,0.0,True,42.62,0.02,,1.0,1.0
B10,gpt-4o,0,0.8542,0.8478,0.14453019201755524,9.0,50.0,1.0,0.0,True,42.62,0.02,,1.0,1.0
C1,gpt-3.5-turbo,1,0.9236,0.6437,0.0030890661291778088,17.0,89.0,2.0,0.0667,False,74.27,0.0112,which,,1.0
C1,gpt-4o,1,0.9035,0.7205,0.23834294080734253,17.0,89.0,2.0,0.0667,False,74.27,0.0112,which,,1.0
C2,gpt-3.5-turbo,0,0.8978,0.5722,0.005790892988443375,19.0,82.0,2.0,0.0714,True,75.14,0.0366,,,1.0
C2,gpt-4o,0,0.9275,0.8627,0.994098424911499,19.0,82.0,2.0,0.0714,True,75.14,0.0366,,,1.0
C3,gpt-3.5-turbo,0,0.93,0.8062,0.9927060008049011,12.0,69.0,0.0,0.0,False,27.49,0.0145,which,,1.0
C3,gpt-4o,0,0.943,0.7175,0.9944485425949097,12.0,69.0,0.0,0.0,False,27.49,0.0145,which,,1.0
C4,gpt-3.5-turbo,0,0.8746,0.5454,0.0019076804164797068,13.0,74.0,3.0,0.0833,True,11.36,0.0135,,,1.0
C4,gpt-4o,0,0.9306,0.8677,0.9942796230316162,13.0,74.0,3.0,0.0833,True,11.36,0.0135,,,1.0
C5,gpt-3.5-turbo,1,0.8905,0.7119,0.00569166662171483,13.0,58.0,1.0,0.0909,False,80.31,0.0172,what,,1.0
C5,gpt-4o,0,0.9128,0.9279,0.9939080476760864,13.0,58.0,1.0,0.0909,False,80.31,0.0172,what,,1.0
C6,gpt-3.5-turbo,1,0.9541,0.6459,0.0059655397199094296,19.0,102.0,3.0,0.0,False,61.67,0.0098,which,,1.0
C6,gpt-4o,0,0.9079,0.8838,0.9076465964317322,19.0,102.0,3.0,0.0,False,61.67,0.0098,which,,1.0
C7,gpt-3.5-turbo,0,0.9176,0.5294,0.001616324414499104,15.0,84.0,2.0,0.0,True,65.73,0.0119,,,1.0
C7,gpt-4o,0,0.9101,0.6939,0.9942988157272339,15.0,84.0,2.0,0.0,True,65.73,0.0119,,,1.0
C8,gpt-3.5-turbo,1,0.8796,0.8321,0.010981121100485325,15.0,89.0,3.0,0.0714,False,47.6,0.0112,which,,1.0
C8,gpt-4o,0,0.8799,0.8638,0.9923877716064453,15.0,89.0,3.0,0.0714,False,47.6,0.0112,which,,1.0
C9,gpt-3.5-turbo,1,0.8299,0.5973,0.017143601551651955,19.0,73.0,2.0,0.0,True,89.61,0.0411,,,1.0
C9,gpt-4o,0,0.9109,0.9195,0.31334438920021057,19.0,73.0,2.0,0.0,True,89.61,0.0411,,,1.0
C10,gpt-3.5-turbo,1,0.8966,0.5592,0.009654211811721325,19.0,94.0,0.0,0.0625,False,58.41,0.0106,which,,1.0
C10,gpt-4o,0,0.9319,0.9365,0.993691086769104,19.0,94.0,0.0,0.0625,False,58.41,0.0106,which,,1.0
D2,gpt-3.5-turbo,1,0.9189,0.7616,0.0003585901577025652,11.0,49.0,2.0,0.0,False,84.9,0.0204,which,1.0,1.0
D4,gpt-3.5-turbo,0,0.92,0.9166,0.9932807087898254,12.0,58.0,1.0,0.0909,False,64.92,0.0172,what,,1.0
D4,gpt-4o,0,0.8825,0.7681,0.9881885647773743,12.0,58.0,1.0,0.0909,False,64.92,0.0172,what,,1.0
D8,gpt-3.5-turbo,0,0.8578,0.7421,0.837347686290741,14.0,54.0,1.0,0.0,False,61.24,0.0185,which,,1.0
D10,gpt-3.5-turbo,1,0.9068,0.74,0.0034169252030551434,20.0,89.0,0.0,0.0769,False,41.55,0.0562,what,,1.0
E1,gpt-3.5-turbo,0,0.8744,0.8248,0.9784117937088013,27.0,85.0,0.0,0.1,False,19.1,0.0588,what,,1.0
E1,gpt-4o,0,0.8672,0.8083,0.980334997177124,27.0,85.0,0.0,0.1,False,19.1,0.0588,what,,1.0
E2,gpt-3.5-turbo,0,0.8807,0.903,0.985476553440094,13.0,59.0,1.0,0.0,True,61.33,0.0169,,,1.0
E2,gpt-4o,0,0.8816,0.8762,0.970970094203949,13.0,59.0,1.0,0.0,True,61.33,0.0169,,,1.0
E3,gpt-3.5-turbo,0,0.9438,0.9414,0.988713800907135,13.0,56.0,1.0,0.1,False,61.33,0.0179,what,,1.0
E3,gpt-4o,0,0.9225,0.9242,0.9087266325950623,13.0,56.0,1.0,0.1,False,61.33,0.0179,what,,1.0
E4,gpt-3.5-turbo,0,0.9331,0.917,0.16055424511432648,15.0,65.0,2.0,0.0,True,9.7,0.0308,,,1.0
E4,gpt-4o,0,0.8712,0.761,0.9743534326553345,15.0,65.0,2.0,0.0,True,9.7,0.0308,,,1.0
E5,gpt-3.5-turbo,0,0.9293,0.9009,0.9888983368873596,16.0,80.0,1.0,0.0,False,56.25,0.0125,what,,1.0
E5,gpt-4o,0,0.9084,0.892,0.9905009269714355,16.0,80.0,1.0,0.0,False,56.25,0.0125,what,,1.0
E6,gpt-3.5-turbo,0,0.9154,0.8615,0.13384093344211578,17.0,98.0,1.0,0.0,True,28.05,0.0102,,,1.0
E6,gpt-4o,1,0.8686,0.6379,0.000985364313237369,17.0,98.0,1.0,0.0,True,28.05,0.0102,,,1.0
E7,gpt-3.5-turbo,0,0.9141,0.9794,0.9922347068786621,8.0,40.0,1.0,0.0,False,32.56,0.025,which,,1.0
E7,gpt-4o,0,0.9582,0.9701,0.9930196404457092,8.0,40.0,1.0,0.0,False,32.56,0.025,which,,1.0
E8,gpt-3.5-turbo,0,0.953,0.9041,0.6559291481971741,25.0,82.0,1.0,0.0714,False,74.27,0.0366,what,,1.0
E8,gpt-4o,0,0.8899,0.9532,0.829890251159668,25.0,82.0,1.0,0.0714,False,74.27,0.0366,what,,1.0
E9,gpt-3.5-turbo,1,0.9525,0.7918,0.001375543768517673,17.0,85.0,2.0,0.0769,True,46.61,0.0235,,,1.0
E9,gpt-4o,0,0.9346,0.8835,0.9924426674842834,17.0,85.0,2.0,0.0769,True,46.61,0.0235,,,1.0
E10,gpt-3.5-turbo,0,0.8466,0.7334,0.12299089133739471,14.0,60.0,1.0,0.0909,False,64.92,0.0167,what,,1.0
E10,gpt-4o,0,0.9155,0.961,0.9915886521339417,14.0,60.0,1.0,0.0909,False,64.92,0.0167,what,,1.0
F1,gpt-3.5-turbo,1,0.8369,0.7531,0.0037990270648151636,11.0,52.0,1.0,0.0,False,61.24,0.0385,why,,1.0
F1,gpt-4o,0,0.8215,0.6273,0.07682619988918304,11.0,52.0,1.0,0.0,False,61.24,0.0385,why,,1.0
F2,gpt-3.5-turbo,0,0.921,0.8155,0.5916666388511658,13.0,75.0,1.0,0.0833,True,67.76,0.0133,,,1.0
F2,gpt-4o,0,0.9148,0.8245,0.993438184261322,13.0,75.0,1.0,0.0833,True,67.76,0.0133,,,1.0
F3,gpt-3.5-turbo,0,0.9291,0.9189,0.05320199951529503,10.0,56.0,3.0,0.0,False,56.7,0.0179,,,1.0
F3,gpt-4o,0,0.8936,0.7187,0.9882133603096008,10.0,56.0,3.0,0.0,False,56.7,0.0179,,,1.0
F4,gpt-3.5-turbo,0,0.869,0.8259,0.7269554734230042,10.0,44.0,0.0,0.125,False,92.97,0.0227,how,,1.0
F4,gpt-4o,0,0.8665,0.833,0.9488201141357422,10.0,44.0,0.0,0.125,False,92.97,0.0227,how,,1.0
F5,gpt-3.5-turbo,0,0.8571,0.6681,0.46620312333106995,11.0,52.0,3.0,0.0,True,78.25,0.0192,,,1.0
F6,gpt-3.5-turbo,0,0.9048,0.8673,0.9771101474761963,9.0,62.0,2.0,0.0,True,50.67,0.0161,,,1.0
F6,gpt-4o,0,0.8713,0.8396,0.9187681078910828,9.0,62.0,2.0,0.0,True,50.67,0.0161,,,1.0
F7,gpt-3.5-turbo,0,0.8644,0.511,0.9724765419960022,14.0,57.0,1.0,0.0,True,75.5,0.0175,,,1.0
F7,gpt-4o,0,0.8333,0.602,0.36578407883644104,14.0,57.0,1.0,0.0,True,75.5,0.0175,,,1.0
F8,gpt-3.5-turbo,1,0.8517,0.7269,0.05508241429924965,11.0,64.0,0.0,0.0,False,-2.21,0.0156,how,,1.0
F8,gpt-4o,0,0.8278,0.7551,0.12945635616779327,11.0,64.0,0.0,0.0,False,-2.21,0.0156,how,,1.0
F9,gpt-3.5-turbo,1,0.8347,0.5911,0.007324007339775562,13.0,62.0,2.0,0.0,False,49.54,0.0161,how,,1.0
F9,gpt-4o,0,0.8388,0.604,0.4454149305820465,13.0,62.0,2.0,0.0,False,49.54,0.0161,how,,1.0
F10,gpt-3.5-turbo,0,0.8972,0.911,0.9599446654319763,8.0,51.0,0.0,0.0,True,-5.73,0.0196,,,1.0
F10,gpt-4o,1,0.8536,0.7992,0.04767931252717972,8.0,51.0,0.0,0.0,True,-5.73,0.0196,,,1.0
A1,gemini-2.5-pro,0,0.9557,0.9475,0.980455219745636,7.0,31.0,1.0,0.1667,False,73.85,0.0323,what,,1.0
A1,claude-sonnet-4-0,0,1.0,1.0,0.9926806092262268,7.0,31.0,1.0,0.1667,False,73.85,0.0323,what,,1.0
A1,cohere-command,0,0.8875,0.829,0.9745478630065918,7.0,31.0,1.0,0.1667,False,73.85,0.0323,what,,1.0
A2,gemini-2.5-pro,0,0.9312,0.8881,0.8313390016555786,13.0,57.0,2.0,0.0,False,88.91,0.0175,,,1.0
A2,claude-sonnet-4-0,0,0.9364,0.8772,0.9942122101783752,13.0,57.0,2.0,0.0,False,88.91,0.0175,,,1.0
A2,cohere-command,0,0.8981,0.8475,0.9892548322677612,13.0,57.0,2.0,0.0,False,88.91,0.0175,,,1.0
A3,gemini-2.5-pro,0,0.8994,0.8342,0.8807069659233093,6.0,25.0,1.0,0.25,False,100.24,0.04,who,,1.0
A3,claude-sonnet-4-0,0,0.8943,0.8293,0.9911617040634155,6.0,25.0,1.0,0.25,False,100.24,0.04,who,,1.0
A3,cohere-command,0,0.8904,0.8555,0.006095030810683966,6.0,25.0,1.0,0.25,False,100.24,0.04,who,,1.0
A4,gemini-2.5-pro,0,0.918,0.9319,0.9825708270072937,9.0,41.0,0.0,0.1429,False,66.79,0.0244,what,,1.0
A4,claude-sonnet-4-0,0,0.8909,0.8822,0.887978732585907,9.0,41.0,0.0,0.1429,False,66.79,0.0244,what,,1.0
A4,cohere-command,0,0.8356,0.7696,0.1531667709350586,9.0,41.0,0.0,0.1429,False,66.79,0.0244,what,,1.0
A5,gemini-2.5-pro,0,0.8729,0.8214,0.9858055710792542,8.0,36.0,2.0,0.0,False,103.04,0.0278,which,,1.0
A5,claude-sonnet-4-0,0,0.9454,0.9753,0.9931676983833313,8.0,36.0,2.0,0.0,False,103.04,0.0278,which,,1.0
A5,cohere-command,0,0.8791,0.6772,0.030942393466830254,8.0,36.0,2.0,0.0,False,103.04,0.0278,which,,1.0
A6,gemini-2.5-pro,0,0.8825,0.838,0.9914507269859314,8.0,37.0,1.0,0.1429,False,66.79,0.027,what,,1.0
A6,claude-sonnet-4-0,0,0.9185,0.8289,0.9919418096542358,8.0,37.0,1.0,0.1429,False,66.79,0.027,what,,1.0
A6,cohere-command,0,0.8822,0.8436,0.5676956176757812,8.0,37.0,1.0,0.1429,False,66.79,0.027,what,,1.0
A7,gemini-2.5-pro,0,0.8976,0.8715,0.3174877464771271,6.0,26.0,1.0,0.2,False,66.4,0.0385,who,,1.0
A7,claude-sonnet-4-0,0,0.8954,0.7801,0.9916132688522339,6.0,26.0,1.0,0.2,False,66.4,0.0385,who,,1.0
A7,cohere-command,0,0.9068,0.795,0.9916320443153381,6.0,26.0,1.0,0.2,False,66.4,0.0385,who,,1.0
A8,gemini-2.5-pro,0,0.8756,0.9097,0.8778965473175049,9.0,43.0,1.0,0.125,False,61.24,0.0233,what,,1.0
A8,claude-sonnet-4-0,0,0.9127,0.9461,0.9942283630371094,9.0,43.0,1.0,0.125,False,61.24,0.0233,what,,1.0
A8,cohere-command,1,0.8751,0.809,0.1901288777589798,9.0,43.0,1.0,0.125,False,61.24,0.0233,what,,1.0
A9,gemini-2.5-pro,0,0.9212,0.9447,0.9913124442100525,7.0,34.0,1.0,0.0,False,45.65,0.0294,which,,1.0
A9,claude-sonnet-4-0,0,0.9125,0.8766,0.9932208061218262,7.0,34.0,1.0,0.0,False,45.65,0.0294,which,,1.0
A9,cohere-command,0,0.8728,0.7563,0.9914953708648682,7.0,34.0,1.0,0.0,False,45.65,0.0294,which,,1.0
A10,gemini-2.5-pro,0,0.8968,0.7557,0.9844222068786621,11.0,51.0,0.0,0.0,False,75.5,0.0196,which,,1.0
A10,claude-sonnet-4-0,0,0.9263,0.9262,0.9551730751991272,11.0,51.0,0.0,0.0,False,75.5,0.0196,which,,1.0
A10,cohere-command,0,0.8834,0.7815,0.07478372752666473,11.0,51.0,0.0,0.0,False,75.5,0.0196,which,,1.0
B1,gemini-2.5-pro,0,0.8162,0.6875,0.25559312105178833,5.0,22.0,1.0,0.25,True,54.73,0.0455,,1.0,1.0
B1,claude-sonnet-4-0,0,0.8234,0.6269,0.20228983461856842,5.0,22.0,1.0,0.25,True,54.73,0.0455,,1.0,1.0
B1,cohere-command,0,0.8491,0.7302,0.02012448199093342,5.0,22.0,1.0,0.25,True,54.73,0.0455,,1.0,1.0
B2,gemini-2.5-pro,0,0.8283,0.6853,0.39811795949935913,4.0,20.0,1.0,0.0,True,34.59,0.05,,1.0,1.0
B2,claude-sonnet-4-0,1,0.8431,0.7044,0.14520898461341858,4.0,20.0,1.0,0.0,True,34.59,0.05,,1.0,1.0
B2,cohere-command,0,0.8632,0.7728,0.7015112638473511,4.0,20.0,1.0,0.0,True,34.59,0.05,,1.0,1.0
B3,gemini-2.5-pro,0,0.833,0.7065,0.0686359629034996,7.0,33.0,2.0,0.2,False,87.95,0.0303,what,1.0,1.0
B3,claude-sonnet-4-0,0,0.859,0.6445,0.3908281624317169,7.0,33.0,2.0,0.2,False,87.95,0.0303,what,1.0,1.0
B3,cohere-command,1,0.8232,0.4377,0.024311160668730736,7.0,33.0,2.0,0.2,False,87.95,0.0303,what,1.0,1.0
B4,gemini-2.5-pro,0,0.8179,0.7061,0.08642179518938065,9.0,53.0,1.0,0.0,True,40.09,0.0189,,1.0,1.0
B4,claude-sonnet-4-0,0,0.8459,0.7105,0.11694501340389252,9.0,53.0,1.0,0.0,True,40.09,0.0189,,1.0,1.0
B4,cohere-command,0,0.849,0.7029,0.5600656867027283,9.0,53.0,1.0,0.0,True,40.09,0.0189,,1.0,1.0
B5,gemini-2.5-pro,0,0.8268,0.64,0.021904228255152702,10.0,44.0,2.0,0.0,True,94.3,0.0227,,1.0,1.0
B5,claude-sonnet-4-0,0,0.8276,0.7745,0.04599921405315399,10.0,44.0,2.0,0.0,True,94.3,0.0227,,1.0,1.0
B5,cohere-command,0,0.8459,0.6709,0.005361523013561964,10.0,44.0,2.0,0.0,True,94.3,0.0227,,1.0,1.0
B6,gemini-2.5-pro,0,0.8406,0.8089,0.14673499763011932,8.0,48.0,1.0,0.0,True,42.62,0.0208,,1.0,1.0
B6,cohere-command,0,0.8711,0.6683,0.013433558866381645,8.0,48.0,1.0,0.0,True,42.62,0.0208,,1.0,1.0
B7,gemini-2.5-pro,1,0.8034,0.5292,0.37242555618286133,9.0,39.0,1.0,0.0,True,31.55,0.0256,,1.0,1.0
B7,cohere-command,0,0.8345,0.6921,0.5880152583122253,9.0,39.0,1.0,0.0,True,31.55,0.0256,,1.0,1.0
B8,gemini-2.5-pro,0,0.7943,0.7177,0.08120379596948624,7.0,34.0,1.0,0.0,True,59.75,0.0294,,1.0,1.0
B8,claude-sonnet-4-0,0,0.8122,0.6806,0.1123981848359108,7.0,34.0,1.0,0.0,True,59.75,0.0294,,1.0,1.0
B8,cohere-command,0,0.8423,0.7506,0.09799200296401978,7.0,34.0,1.0,0.0,True,59.75,0.0294,,1.0,1.0
B9,gemini-2.5-pro,0,0.8154,0.6751,0.02817997895181179,9.0,45.0,1.0,0.125,False,50.67,0.0222,what,1.0,1.0
B9,claude-sonnet-4-0,0,0.8107,0.6227,0.29344695806503296,9.0,45.0,1.0,0.125,False,50.67,0.0222,what,1.0,1.0
B9,cohere-command,0,0.8308,0.6528,0.059728432446718216,9.0,45.0,1.0,0.125,False,50.67,0.0222,what,1.0,1.0
B10,gemini-2.5-pro,0,0.8304,0.7066,0.3458881974220276,9.0,50.0,1.0,0.0,True,42.62,0.02,,1.0,1.0
B10,claude-sonnet-4-0,0,0.8541,0.7844,0.19674251973628998,9.0,50.0,1.0,0.0,True,42.62,0.02,,1.0,1.0
B10,cohere-command,0,0.8097,0.5701,0.02550615184009075,9.0,50.0,1.0,0.0,True,42.62,0.02,,1.0,1.0
C1,gemini-2.5-pro,0,0.863,0.677,0.9573226571083069,17.0,89.0,2.0,0.0667,False,74.27,0.0112,which,,1.0
C1,claude-sonnet-4-0,1,0.8621,0.644,0.34595462679862976,17.0,89.0,2.0,0.0667,False,74.27,0.0112,which,,1.0
C1,cohere-command,1,0.8833,0.6278,0.015549457632005215,17.0,89.0,2.0,0.0667,False,74.27,0.0112,which,,1.0
C2,gemini-2.5-pro,0,0.9113,0.759,0.9635767340660095,19.0,82.0,2.0,0.0714,True,75.14,0.0366,,,1.0
C2,claude-sonnet-4-0,0,0.9186,0.7707,0.9735252261161804,19.0,82.0,2.0,0.0714,True,75.14,0.0366,,,1.0
C2,cohere-command,0,0.9049,0.7413,0.9354691505432129,19.0,82.0,2.0,0.0714,True,75.14,0.0366,,,1.0
C3,gemini-2.5-pro,0,0.9027,0.7769,0.9824241995811462,12.0,69.0,0.0,0.0,False,27.49,0.0145,which,,1.0
C3,claude-sonnet-4-0,0,0.8933,0.7808,0.9939985275268555,12.0,69.0,0.0,0.0,False,27.49,0.0145,which,,1.0
C3,cohere-command,0,0.8832,0.7725,0.020240359008312225,12.0,69.0,0.0,0.0,False,27.49,0.0145,which,,1.0
C4,gemini-2.5-pro,0,0.8727,0.6155,0.9844931364059448,13.0,74.0,3.0,0.0833,True,11.36,0.0135,,,1.0
C4,claude-sonnet-4-0,0,0.9062,0.8628,0.9437157511711121,13.0,74.0,3.0,0.0833,True,11.36,0.0135,,,1.0
C4,cohere-command,0,0.8805,0.7828,0.38868555426597595,13.0,74.0,3.0,0.0833,True,11.36,0.0135,,,1.0
C5,gemini-2.5-pro,0,0.8933,0.8345,0.9929589033126831,13.0,58.0,1.0,0.0909,False,80.31,0.0172,what,,1.0
C5,claude-sonnet-4-0,0,0.892,0.9103,0.9938496947288513,13.0,58.0,1.0,0.0909,False,80.31,0.0172,what,,1.0
C5,cohere-command,0,0.8979,0.7748,0.05365575850009918,13.0,58.0,1.0,0.0909,False,80.31,0.0172,what,,1.0
C6,gemini-2.5-pro,0,0.8791,0.797,0.9924631118774414,19.0,102.0,3.0,0.0,False,61.67,0.0098,which,,1.0
C6,claude-sonnet-4-0,0,0.893,0.9047,0.27650678157806396,19.0,102.0,3.0,0.0,False,61.67,0.0098,which,,1.0
C6,cohere-command,1,0.9052,0.7502,0.007392724510282278,19.0,102.0,3.0,0.0,False,61.67,0.0098,which,,1.0
C7,gemini-2.5-pro,0,0.8702,0.6625,0.0022054940927773714,15.0,84.0,2.0,0.0,True,65.73,0.0119,,,1.0
C7,claude-sonnet-4-0,0,0.905,0.74,0.001133279176428914,15.0,84.0,2.0,0.0,True,65.73,0.0119,,,1.0
C7,cohere-command,0,0.9241,0.762,0.001057665329426527,15.0,84.0,2.0,0.0,True,65.73,0.0119,,,1.0
C8,gemini-2.5-pro,0,0.8595,0.8373,0.981755256652832,15.0,89.0,3.0,0.0714,False,47.6,0.0112,which,,1.0
C8,claude-sonnet-4-0,1,0.8541,0.8136,0.019657913595438004,15.0,89.0,3.0,0.0714,False,47.6,0.0112,which,,1.0
C8,cohere-command,1,0.8842,0.8059,0.015532351098954678,15.0,89.0,3.0,0.0714,False,47.6,0.0112,which,,1.0
C9,gemini-2.5-pro,0,0.8972,0.8563,0.714499831199646,19.0,73.0,2.0,0.0,True,89.61,0.0411,,,1.0
C9,claude-sonnet-4-0,0,0.8768,0.8912,0.029854541644454002,19.0,73.0,2.0,0.0,True,89.61,0.0411,,,1.0
C9,cohere-command,1,0.8489,0.3077,0.005006135907024145,19.0,73.0,2.0,0.0,True,89.61,0.0411,,,1.0
C10,gemini-2.5-pro,1,0.8361,0.539,0.04247475787997246,19.0,94.0,0.0,0.0625,False,58.41,0.0106,which,,1.0
C10,claude-sonnet-4-0,1,0.8408,0.4685,0.019081737846136093,19.0,94.0,0.0,0.0625,False,58.41,0.0106,which,,1.0
C10,cohere-command,1,0.8435,0.5344,0.040102679282426834,19.0,94.0,0.0,0.0625,False,58.41,0.0106,which,,1.0
D1,gemini-2.5-pro,0,0.8594,0.8755,0.29938024282455444,14.0,47.0,2.0,0.1,False,78.25,0.0426,who,1.0,1.0
D2,gemini-2.5-pro,0,0.9007,0.9059,0.9846603274345398,11.0,49.0,2.0,0.0,False,84.9,0.0204,which,1.0,1.0
D2,claude-sonnet-4-0,0,0.9165,0.9001,0.9934343099594116,11.0,49.0,2.0,0.0,False,84.9,0.0204,which,1.0,1.0
D2,cohere-command,1,0.8586,0.6659,0.036140523850917816,11.0,49.0,2.0,0.0,False,84.9,0.0204,which,1.0,1.0
D3,cohere-command,0,0.8665,0.5763,0.005514416843652725,17.0,60.0,3.0,0.1,False,87.95,0.05,who,1.0,1.0
D4,gemini-2.5-pro,0,0.8985,0.9015,0.9936951994895935,12.0,58.0,1.0,0.0909,False,64.92,0.0172,what,1.0,1.0
D4,claude-sonnet-4-0,0,0.9245,0.9357,0.9939060807228088,12.0,58.0,1.0,0.0909,False,64.92,0.0172,what,1.0,1.0
D4,cohere-command,0,0.8542,0.7895,0.08021984249353409,12.0,58.0,1.0,0.0909,False,64.92,0.0172,what,1.0,1.0
D5,cohere-command,1,0.7951,0.2136,0.07703420519828796,12.0,47.0,2.0,0.0,False,94.3,0.0213,which,1.0,1.0
D7,gemini-2.5-pro,1,0.8568,0.6878,0.017603762447834015,12.0,54.0,2.0,0.1111,False,61.33,0.0185,who,1.0,1.0
D10,gemini-2.5-pro,1,0.8953,0.8452,0.10069349408149719,20.0,89.0,0.0,0.0769,False,41.55,0.0562,what,1.0,1.0
D10,cohere-command,1,0.8556,0.6998,0.0029540013056248426,20.0,89.0,0.0,0.0769,False,41.55,0.0562,what,1.0,1.0
